How do I request a new pillow?,"Submit a request in the app under 'Furniture Requests', select 'Pillow', and it’ll be delivered for ₹100.",
Can I book a group study session?,"Yes, go to 'Study Room Booking' in the app, select 'Group Session', and invite others to join.",
How do I check my gym schedule?,Go to 'Wellness' in the app and view the weekly gym timetable under 'Gym Access'.,
What should I do if my key card stops working?,Visit the front desk with ID proof or report it via the app under 'Emergency Assistance' for a ₹200 replacement.,
How can I request a noise complaint investigation?,"Use the app under 'Complaints', select 'Noise Issue', and provide details for discreet follow-up.",
What do I do if my AC is making noise?,"Report it in the app under 'Maintenance Requests', select 'AC Issues', and a technician will check it.",
How do I book a photography session?,"Go to 'Events' in the app, select 'Photography Session', and reserve a slot with our in-house photographer.",
What’s the process for requesting a desk?,"Submit a request via the app under 'Furniture Requests', select 'Desk', and it’ll be provided if available.",
How can I report a faulty fire extinguisher?,"Use the app’s 'Emergency Assistance', select 'Fire Safety', and we’ll replace it within 12 hours.",
What do I do if my oven isn’t heating?,"Report it via the app under 'Maintenance Requests', select 'Kitchen Appliances', and we’ll fix it soon.",
How do I request a plant for my room?,"Go to 'Housekeeping' in the app, select 'Indoor Plant', and choose from available options for ₹150.",
Can I book a meditation class?,"Yes, check 'Wellness' in the app, select 'Meditation Class', and RSVP for the next session.",
How do I report a broken mirror?,"Submit a request in the app under 'Maintenance Requests', select 'Furniture', and it’ll be replaced within 48 hours.",
What’s the process for requesting a humidifier?,"Use the app under 'Housekeeping', select 'Humidifier', and it’ll be delivered for ₹250 per month.",
How can I check my visitor log?,Go to 'Visitor Management' in the app and view the history of your registered guests.,
What do I do if my blinds won’t open?,"Report it via the app under 'Maintenance Requests', select 'Window Issues', and we’ll fix it within 24 hours.",
How do I request a coffee machine?,"Submit a request in the app under 'Appliance Requests', and it’ll be provided for a ₹300 fee if available.",
Can I book a cleaning for my balcony?,"Yes, go to 'Housekeeping' in the app, select 'Balcony Cleaning', and schedule a time.",
What’s the process for reporting a security camera issue?,"Use the app’s 'Security' section, select 'Camera Malfunction', and our team will check it ASAP.",
How do I request a new rug?,"Submit a request in the app under 'Furniture Requests', select 'Rug', and it’ll be delivered within 72 hours.",
Can I get a late checkout fee waiver?,Request it via the app under 'Stay Extension' 24 hours in advance. Approval depends on occupancy.,
How do I report a broken shelf?,"Use the app under 'Maintenance Requests', select 'Furniture', and a replacement will be arranged.",
What do I do if my fan is too noisy?,"Report it via the app under 'Maintenance Requests', select 'Appliance Issues', and we’ll inspect it.",
How can I request a wall painting touch-up?,"Go to 'Maintenance Requests' in the app, select 'Painting', and schedule a visit within a week.",
What’s the process for reporting a lost key?,"Use the app under 'Emergency Assistance', select 'Lost Key', and visit the front desk for a ₹200 replacement.",
How do I book a rooftop yoga session?,"Check 'Wellness' in the app, select 'Rooftop Yoga', and reserve your spot for the next class.",
Can I request a shoe rack?,"Yes, go to 'Furniture Requests' in the app, select 'Shoe Rack', and it’ll be provided for ₹200.",
How do I report a flickering light?,"Submit a request in the app under 'Maintenance Requests', select 'Lighting', and it’ll be fixed within 12 hours.",
What do I do if my room’s intercom isn’t working?,"Report it via the app under 'Maintenance Requests', select 'Intercom Issues', and we’ll repair it.",
How can I request a guest parking pass?,"Go to 'Parking' in the app, select 'Guest Pass', and generate a temporary code for 24 hours.",
What’s the process for reporting a pest sighting in the common area?,"Use the app under 'Housekeeping', select 'Pest Control - Common Area', and we’ll handle it within 48 hours.",
question,answer,
